Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Embarked_Q,Embarked_S,Title_Group_Miss,Title_Group_Mr,Title_Group_Mrs,Title_Group_Officer,Title_Group_Royalty,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown
0,3,0,-0.5574811592591387,0.4327933656785018,-0.4736736092984604,-0.8205524467753036,0.059159876663617626,0,-0.806026202799512,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0.6488403847201886,0.4327933656785018,-0.4736736092984604,2.0316232164746784,0.059159876663617626,0,1.2376011734448926,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,3,1,-0.2559007732643069,-0.47454519624983954,-0.4736736092984604,-0.7875775669667633,-0.5609748304808925,1,-0.505000664544398,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0.4226550952240647,0.4327933656785018,-0.4736736092984604,1.4192967965159125,0.059159876663617626,0,0.7988599517350203,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,3,0,0.4226550952240647,-0.47454519624983954,-0.4736736092984604,-0.7814711077429595,-0.5609748304808925,1,-0.49624992215326086,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,0,0.04567961273052494,-0.47454519624983954,-0.4736736092984604,-0.761524969334327,-0.5609748304808925,1,-0.46766649720685094,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,1.8551619286995158,-0.47454519624983954,-0.4736736092984604,1.358842850200255,-0.5609748304808925,1,2.5708852859402698,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
0,3,0,-2.065383089233298,2.2474704895351842,0.7676298785983874,-0.14517805662260871,1.9195639980971482,0,-0.7647226987133452,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,1,-0.18050567676559892,-0.47454519624983954,2.0089333664952354,-0.6308467419449267,0.6792945838081278,0,-0.7999986914404967,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,1,-1.1606419312488023,0.4327933656785018,-0.4736736092984604,0.2942818304613415,0.059159876663617626,0,-0.007230434960871806,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,1,-1.9145928962358818,0.4327933656785018,0.7676298785983874,-0.35890412945574,0.6792945838081278,0,-0.6700956707925456,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,2.1567423146943474,-0.47454519624983954,-0.4736736092984604,0.12228485737999564,-0.5609748304808925,1,0.7988599517350203,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0,3,0,-0.7082713522565546,-0.47454519624983954,-0.4736736092984604,-0.7814711077429595,-0.5609748304808925,1,-0.49624992215326086,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,0,0.7242354812188965,0.4327933656785018,5.73284383018578,0.35310901603977735,3.1598334123861687,0,-0.7470181967075967,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,1,-1.1606419312488023,-0.47454519624983954,-0.4736736092984604,-0.7910362654711258,-0.5609748304808925,1,-0.509957085034738,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,2,1,1.9305570251982238,-0.47454519624983954,-0.4736736092984604,-0.393100301109041,-0.5609748304808925,1,0.060297293923054524,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0,-2.065383089233298,3.1548090514635256,0.7676298785983874,0.24807791739035287,2.5396987052416584,0,-0.7199749024220269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0.04567961273052494,-0.47454519624983954,-0.4736736092984604,-0.539655322480331,-0.5609748304808925,1,-0.1497205234642343,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,3,1,0.12107470922923289,0.4327933656785018,-0.4736736092984604,-0.29539695352818096,0.059159876663617626,0,-0.4297442799806195,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,3,1,0.4226550952240647,-0.47454519624983954,-0.4736736092984604,-0.8217737386200644,-0.5609748304808925,1,-0.5540048219347654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2,0,0.4226550952240647,-0.47454519624983954,-0.4736736092984604,0.0954164367952591,-0.5609748304808925,1,0.7603566852140173,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,0,0.34725999872535673,-0.47454519624983954,-0.4736736092984604,-0.539655322480331,-0.5609748304808925,1,-0.1497205234642343,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,3,1,-1.0852468347500943,-0.47454519624983954,-0.4736736092984604,-0.7824872225578006,-0.5609748304808925,1,-0.49770604568714616,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,-0.10511058026689096,-0.47454519624983954,-0.4736736092984604,0.5595073378043441,-0.5609748304808925,1,1.425413106940432,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,3,1,-1.61301251024105,2.2474704895351842,0.7676298785983874,-0.14517805662260871,1.9195639980971482,0,-0.7647226987133452,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3,1,0.6488403847201886,0.4327933656785018,5.73284383018578,0.35860482934120075,3.1598334123861687,0,-0.7458981016815311,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
0,3,0,0.04567961273052494,-0.47454519624983954,-0.4736736092984604,-0.8217737386200644,-0.5609748304808925,1,-0.5540048219347654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
